"filename", "language", "TypeScript", "JSON", "SCSS", "Markdown", "JSON with Comments", "HTML", "TypeScript React", "CSS", "XML", "comment", "blank", "total"
"c:\Vito\wins11\src\components\windowsApps\fileExplorer\main.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 11, 58
"c:\Vito\wins11\src\components\windowsApps\fileExplorer\navbar.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 114, 0, 0, 4, 23, 141
"c:\Vito\wins11\src\components\windowsApps\fileExplorer\sidebar.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 5, 20
"c:\Vito\wins11\src\components\windowsApps\mail\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\Vito\wins11\src\components\windowsApps\notepad\header.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Vito\wins11\src\components\windowsApps\notepad\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Vito\wins11\src\components\windowsApps\recycleBin\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"c:\Vito\wins11\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 29, 0, 4, 5, 38
"c:\Vito\wins11\src\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 23, 0, 0, 2, 3, 28
"c:\Vito\wins11\src\modules\applications.ts", "TypeScript", 180, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 193
"c:\Vito\wins11\src\modules\clock.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 35
"c:\Vito\wins11\src\modules\date.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 55
"c:\Vito\wins11\src\modules\folders.ts", "TypeScript", 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 148
"c:\Vito\wins11\src\modules\globalStyles.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Vito\wins11\src\modules\sidebar-array.ts", "TypeScript", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 101
"c:\Vito\wins11\src\modules\themes.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Vito\wins11\src\store\apps-slice.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 103
"c:\Vito\wins11\src\store\edge-slice.ts", "TypeScript", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 158
"c:\Vito\wins11\src\store\fileExplorer.ts", "TypeScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 13, 21, 103
"c:\Vito\wins11\src\store\index.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\Vito\wins11\src\store\main-slice.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 69
"c:\Vito\wins11\src\store\signin-slice.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 49
"c:\Vito\wins11\src\store\user-slice.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 26
"c:\Vito\wins11\src\styles\appLayout.scss", "SCSS", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 2, 76
"c:\Vito\wins11\src\styles\applications\edge\edge.scss", "SCSS", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 2, 46
"c:\Vito\wins11\src\styles\applications\edge\tabs.scss", "SCSS", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 3, 127
"c:\Vito\wins11\src\styles\applications\edge\toolbar.scss", "SCSS", 0, 0, 179, 0, 0, 0, 0, 0, 0, 0, 6, 185
"c:\Vito\wins11\src\styles\applications\fileExplorer\fileExplorer.scss", "SCSS", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Vito\wins11\src\styles\applications\fileExplorer\header.scss", "SCSS", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 2, 104
"c:\Vito\wins11\src\styles\applications\fileExplorer\main.scss", "SCSS", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 2, 54
"c:\Vito\wins11\src\styles\applications\fileExplorer\navabar.scss", "SCSS", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 3, 147
"c:\Vito\wins11\src\styles\applications\fileExplorer\sidebarMenuSection.scss", "SCSS", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 2, 72
"c:\Vito\wins11\src\styles\applications\mail\mail.scss", "SCSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Vito\wins11\src\styles\applications\notepad\notepad.scss", "SCSS", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 2, 42
"c:\Vito\wins11\src\styles\applications\vscode\vscode.scss", "SCSS", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Vito\wins11\src\styles\main.scss", "SCSS", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Vito\wins11\src\styles\power.scss", "SCSS", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Vito\wins11\src\styles\powerOptions.scss", "SCSS", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 2, 37
"c:\Vito\wins11\src\styles\rightPanel\rightPanel.scss", "SCSS", 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 2, 185
"c:\Vito\wins11\src\styles\signIn.scss", "SCSS", 0, 0, 192, 0, 0, 0, 0, 0, 0, 0, 2, 194
"c:\Vito\wins11\src\styles\startMenu.scss", "SCSS", 0, 0, 222, 0, 0, 0, 0, 0, 0, 2, 5, 229
"c:\Vito\wins11\src\styles\taskbar.scss", "SCSS", 0, 0, 163, 0, 0, 0, 0, 0, 0, 4, 2, 169
"c:\Vito\wins11\src\styles\variables.scss", "SCSS", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 10, 68
"c:\Vito\wins11\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 21, 0, 0, 0, 0, 1, 1, 23
"Total", "-", 980, 29593, 1742, 38, 21, 17, 1723, 29, 17, 91, 622, 34873
